S.No,Course ID,Discipline,Course Name,SME Name,Institute,Duration,Start date,End date,Exam date,Link,Prerequiste,About
134,noc24-cs15,Computer Science and Engineering,Blockchain and its Applications,Prof. Sandip Chakraborty Prof. Shamik Sural,IITKGP,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 27, 2024",https://onlinecourses.nptel.ac.in/noc23_cs47/preview,Computer Networks; Operating Systems; Cryptography and Network Security.,"ABOUT THE COURSE : In the last few years, Blockchain technology has generated massive interest among governments, enterprises, and academics, because of its capability of providing a transparent, secured, tamper-proof solution for interconnecting different stakeholders in a trustless setup. In January 2021, the Ministry of Electronics and Information Technology (MeiTY), Government of India, published the first draft of the ""National Strategy on Blockchain"" that highlights 17 potential applications that are of national interest. Against this backdrop, this subject will cover the basic design principles of Blockchain technology and its applications over different sectors. Additionally, the course also provides tutorials on setting up blockchain applications using one of the well-adopted permissionless blockchain platforms - Ethereum, and one permissioned blockchain platform - Hyperledger. PRE-REQUISITE: Computer Networks; Operating Systems; Cryptography and Network Security. INDUSRTY SUPPORT: IBM; HPE; Intel; Any startups working on Blockchain."
135,noc24-cs16,Computer Science and Engineering,Circuit Complexity Theory,Prof. Raghunath Tewari,IITK,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 20, 2024",https://onlinecourses.nptel.ac.in/noc23_cs37/preview,Basic undergraduate course in Theory of Computation and Algorithms. Undergraduate algebra and discrete mathematics.,"This is a course on Boolean Circuit Complexity. In this course we study the Boolean circuit model of computation. We prove upper and lower bounds on circuit resources such as depth and size. The course is entirely mathematical, and a good level of mathematical maturity is essential. Prior knowledge of discrete mathematics, probability and basic algebra are prerequisites for this course. The course is intended for students who wish to pursue research in theoretical computer science."
136,noc24-cs17,Computer Science and Engineering,Cloud Computing,Prof. Soumya Kanti Ghosh,IITKGP,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 20, 2024",https://onlinecourses.nptel.ac.in/noc21_cs62/preview,"Basics of Computer Architecture and Organization, Networking","ABOUT THE COURSE : Cloud computing is a scalable services consumption and delivery platform that provides on-demand computing service for shared pool of resources, namely servers, storage, networking, software, database, applications etc., over the Internet. It is a model for enabling ubiquitous, on-demand access to a shared pool of configurable computing resources, which can be rapidly provisioned and released with minimal management effort. This course will introduce various aspects of cloud computing, including fundamentals, management issues, security challenges and future research trends. This will help students (both UG and PG levels) and researchers to use and explore the cloud computing platforms."
137,noc24-cs19,Computer Science and Engineering,Computer Networks And Internet Protocol,Prof. Soumya Kanti Ghosh Prof. Sandip Chakraborty,IITKGP,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 20, 2024",https://onlinecourses.nptel.ac.in/noc21_cs18/preview,Nil,"ABOUT THE COURSE : The domain of Internet has grown in a rapid pace from traditional circuit switched and packet switched small scale networks to modern high-speed mobile and wireless Internet. A large number of methods, architectures and designs came up at every protocol level to cop up with the demands for developing a secure and highly dependable information technology infrastructure. The broad objective of the course is to understand - (i) the architecture and principles of today's computer networks, (ii) the protocols and their functionalities, (iii) the requirements for the future Internet and its impact on the computer network architecture. In this course, we'll broadly cover the basic TCP/IP protocol stack and touch on the next generation computer networks. We'll take a top-down approach to cover different protocols at the TCP/IP protocol stack."
138,noc24-cs20,Computer Science and Engineering,Data Analytics with Python,Prof. A Ramesh,IITR,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 27, 2024",https://onlinecourses.nptel.ac.in/noc20_cs46/preview,Nil,"ABOUT THE COURSE : We are looking forward to sharing many exciting stories and examples of analytics with all of you using python programming language. This course includes examples of analytics in a wide variety of industries, and we hope that students will learn how you can use analytics in their career and life. One of the most important aspects of this course is that you, the student, are getting hands-on experience creating analytics models; we, the course team, urge you to participate in the discussion forums and to use all the tools available to you while you are in the course!"
139,noc24-cs21,Computer Science and Engineering,Data Base Management System,Prof. Partha Pratim Das Prof. Samiran Chattopadhyay,IITKGP,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 24, 2024",https://onlinecourses.nptel.ac.in/noc20_cs09/preview,Procedural and / or Object-Oriented Programming (C / C++ / Java / Python),"ABOUT THE COURSE : Databases form the backbone of all major applications today – tightly or loosely coupled, intranet or internet based, financial, social, administrative, and so on. Structured Database Management Systems (DBMS) based on relational and other models have long formed the basis for such databases. Consequently, Oracle, Microsoft SQL Server, Sybase etc. have emerged as leading commercial systems while MySQL, PostgreSQL etc. lead in open source and free domain. While DBMS’s differ in the details, they share a common set of models, design paradigms and a Structured Query Language (SQL). In this background the course examines data structures, file organizations, concepts and principles of DBMS’s, data analysis, database design, data modeling, database management, data & query optimization, and database implementation. More specifically, the course introduces relational data models; entity-relationship modeling, SQL, data normalization, and database design. Further it introduces query coding practices using MySQL (or any other open system) through various assignments. Design of simple multi-tier client / server architectures based and Web-based database applications is also introduced."
140,noc24-cs22,Computer Science and Engineering,Data Mining,Prof. Pabitra Mitra,IITKGP,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 23, 2024",https://onlinecourses.nptel.ac.in/noc22_cs11/preview,Nil,"ABOUT THE COURSE : Data mining is study of algorithms for finding patterns in large data sets. It is an integral part of modern industry, where data from its operations and customers are mined for gaining business insight. It is also important in modern scientific endeavors. Data mining is an interdisciplinary topic involving, databases, machine learning and algorithms. The course will cover the fundamentals of data mining. It will explain the basic algorithms like data preprocessing, association rules, classification, clustering, sequence mining and visualization. It will also explain implementations in open source software. Finally, case studies on industrial problems will be demonstrated."
141,noc24-cs23,Computer Science and Engineering,Design and analysis of algorithms,Prof. Madhavan Mukund,CMI,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 24, 2024",https://onlinecourses.nptel.ac.in/noc19_cs47/preview, Exposure to introductory courses on programming and data structures.,"ABOUT THE COURSE : This course will cover basic concepts in the design and analysis of algorithms. Asymptotic complexity, O() notation Sorting and search Algorithms on graphs: exploration, connectivity, shortest paths, directed acyclic graphs, spanning trees Design techniques: divide and conquer, greedy, dynamic programming Data structures: heaps, union of disjoint sets, search trees Intractability"
142,noc24-cs24,Computer Science and Engineering,Embedded System Design with ARM,Prof. Indranil Sengupta Prof. Kamalika Datta,IITKGP,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 23, 2024",https://onlinecourses.nptel.ac.in/noc24_cs24/preview,Basic concepts in digital circuits and microprocessor,"ABOUT THE COURSE : This course will discuss about the basic concepts of embedded system design, with particular emphasis on hands-on and demonstration sessions on system design using ARM microcontrollers. Keeping in view of the recent developments, this course will be based on state-of-the-art microcontroller boards and programming environments. This course will also help the participants to understand the developmental aspects of Internet of Things (IoT) based designs. Starting from the basics, the participants will be introduced to various interfacing issues with sensors and actuators. It is highly recommended that the participants procure some of the low cost microcontroller development boards and actually carry out the experiments that would be demonstrated"
143,noc24-cs26,Computer Science and Engineering,Foundation of Cloud IoT Edge ML,Prof. Rajiv Misra,IITP,8 Weeks,"Feb 19, 2024","Apr 12, 2024","Apr 21, 2024",https://onlinecourses.nptel.ac.in/noc23_cs65/preview,"Basics of Computer Architecture and Organization, Networking","Emerging Internet of Things (IoT) applications such as augmented reality, self-driving automobiles, and many others are delay sensitive and computation expensive, require real-time processing of massive amounts of data generated by distributed end users. Although the success of cloud computing for supporting high performance computing has been witnessed in recent years, its inefficiency in quality of service (QoS) provisioning for delay sensitive applications as well as high energy consumption has been the bottleneck for the development of delay-sensitive IoT applications. Edge computing has recently developed as a cloud computing extension for QoS provisioning for time-sensitive applications. By deploying computing and network resources along the path between data sources and cloud datacenters, it enables cloud-like computing at the network edge. This course provides an in-depth understanding of terminologies and the core concepts behind Cloud-IoT-Edge problems, applications, systems and the techniques, that underlie today's cutting-edge technologies. It provides an introduction to some of the start-of-the-art IoT and wireless networks, edge and virtualization technologies, recent trends in computer hardware for artificial intelligence, spatial localization and detection, tensor processing unit for fast and affordable artificial intelligence (AI). And while discussing the concepts and techniques, we will also look at various applications of Cloud-IoT-Edge using Machine Learning, Deep Learning, and many others. The course is suitable for all UG/PG students and practicing engineers/ scientists from the diverse fields and interested in learning about the novel cutting edge techniques and applications of Cloud-IoT-Edge."
144,noc24-cs27,Computer Science and Engineering,Foundations of Cyber Physical Systems,Prof. Soumyajit Dey,IITKGP,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 21, 2024",https://onlinecourses.nptel.ac.in/noc23_cs62/preview,Basic Programming Knowledge,"Cyber-physical systems (CPS), which consist of physical systems tightly integrated and/or controlled by software, are ubiquitous in many safety critical domains, including automotive, avionics, railways, healthcare, atomic energy, power, and industrial automation. The principles of design and implementation of cyber-physical systems are remarkably different from that of other embedded systems because of the tight integration of real valued and dense time real time systems with software based discrete automated control. The objective of this course is to develop an exposition of the challenges in implementing a cyber-physical system from a computational perspective, but based equally on the principles of automated control. The course aims to expose the student to real world problems in this domain and provide a walk through the design and validation problems for such systems. With the advent of Al techniques, their increased use in CPS is also a promising growth vertical along with the necessity of safety assurance. In this course we also touch upon concepts of Neural Network based decision making for Continuous Systems while guaranteeing safety and stability using control theoretic constraint solving."
145,noc24-cs28,Computer Science and Engineering,Fundamental Algorithms: Design And Analysis,Prof. Sourav Mukhopadhyay,IITKGP,4 Weeks,"Jan 22, 2024","Feb 16, 2024","Mar 23, 2024",https://onlinecourses.nptel.ac.in/noc22_cs01/preview,Nil,"This course provides an introduction to mathematical modeling of computational problems. It covers the common algorithms, algorithmic paradigms, and data structures used to solve these problems. The course emphasizes the relationship between algorithms and programming, and introduces basic performance measures and analysis techniques for these problems."
146,noc24-cs29,Computer Science and Engineering,Getting Started with Competitive Programming,Prof. Neeldhara Misra,IIT Gandhinagar,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 21, 2024",https://onlinecourses.nptel.ac.in/noc22_cs59/preview,"Data Structures and Algorithms, Familiarity with a programming language (ideally C++ or Python)","ABOUT THE COURSE : This is a course on algorithm design with a focus on issues of modeling and implementation. Each lecture will be focused entirely on one or two problems that reveal the use of a specific algorithmic technique. The techniques themselves are chosen to be in line with those covered in existing NPTEL courses on data structures and algorithms, so that students who complete those courses can find in this course a natural follow up. This course is intended for anyone who wants to deepen their appreciation for algorithmic techniques that they have learned in a foundational course and/or would like to take a first step towards preparing for coding competitions such as the ICPC."
147,noc24-cs30,Computer Science and Engineering,GPU Architectures And Programming,Prof. Soumyajit Dey,IITKGP,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 27, 2024",https://onlinecourses.nptel.ac.in/noc21_cs46/preview,"Programming and Data Structure, Digital Logic, Computer architecture","ABOUT THE COURSE : The course covers basics of conventional CPU architectures, their extensions for single instruction multiple data processing (SIMD) and finally the generalization of this concept in the form of single instruction multiple thread processing (SIMT) as is done in modern GPUs. We cover GPU architecture basics in terms of functional units and then dive into the popular CUDA programming model commonly used for GPU programming. In this context, architecture specific details like memory access coalescing, shared memory usage, GPU thread scheduling etc which primarily effect program performance are also covered in detail. We next switch to a different SIMD programming language called OpenCL which can be used for programming both CPUs and GPUs in a generic manner. Throughout the course we provide different architecture-aware optimization techniques relevant to both CUDA and OpenCL. Finally, we provide the students with detail application development examples in two well-known GPU computing scenarios."
148,noc24-cs31,Computer Science and Engineering,Information Security - 5 - Secure Systems Engineering,Prof. Chester Robeiro,IITM,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 23, 2024",https://onlinecourses.nptel.ac.in/noc23_cs10/preview,C programming must be strongMinimum understanding of digital logic /operating systems/computer organization,"ABOUT THE COURSE : With the increase in the threat of cyber-security attacks, it is important to develop computer systems that are not only efficient but also secure. This course will discuss various vulnerabilities in systems and mechanisms by which these vulnerabilities can be mitigated. The first part of the course will discuss various security vulnerabilities in software code that, if left unfixed, can potentially lead to major cyber-attacks. We will see how these vulnerabilities can arise from simple programming flaws like a buffer that overflows, to complex application runtime characteristics that get manifested through side-channels such as the execution time and power consumption of the device. We will look at some recent cyber-attacks such as Meltdown and Spectre, Heartbleed, and Stagefright. The pre-requisites are a good understanding of C and a basic understanding of computer organization and operating systems."
149,noc24-cs32,Computer Science and Engineering,"Introduction to Automata, Languages and Computation",Prof. Sourav Mukhopadhyay,IITKGP,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 20, 2024",https://onlinecourses.nptel.ac.in/noc24_cs32/preview,Prerequisites or Industry Support section not found.,"ABOUT THE COURSE : Automata, Languages and Computation have been an important part of the curriculum in computer science department for several decades.The automata theory is the study of abstract machines and theirapplication in solving computational problems. Automata is a major part of this course, and is explained elaborately throughout in easily comprehensible ways. Besides providing students with a detailedintroduction to the theories related to computer science, this course also fully covers mathematical preliminaries which are essential to computation."
150,noc24-cs33,Computer Science and Engineering,Introduction to Embedded System Design,Prof. Dhananjay V. Gadre Prof. Badri N Subudhi,IITD,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 20, 2024",https://onlinecourses.nptel.ac.in/noc20_ee98/preview,Prerequisites or Industry Support section not found.,"ABOUT THE COURSE : Embedded Systems surround us in the form of gadgets and devices that we use. There is no aspect of human lives, which is untouched by such devices at home or for health diagnostics, transportation, entertainment. Learning out Embedded Systems will give the skills to design and manufacture embedded system products of the future which will help participants towards better employability. This course teaches embedded system design using a building block approach, which allows one to visualize the requirement of an embedded system and then to design it efficiently. The course will teach embedded system design using a microcontroller, namely Texas Instruments MSP430 low power microcontroller. The course will introduce various interfacing techniques for popular input devices including sensors, output devices and communication protocols. It will teach power supply design for embedded applications. It will also teach effective embedded programming techniques in C and how to maintain code using GIT. It will have a significant practical component, which will be achieved through any available MSP430 microcontroller kit."""
151,noc24-cs34,Computer Science and Engineering,Introduction To Industry 4.0 And Industrial Internet Of Things,Prof. Sudip Misra,IITKGP,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 21, 2024",https://onlinecourses.nptel.ac.in/noc21_cs20/preview,Prerequisites or Industry Support section not found.,"ABOUT THE COURSE : Industry 4.0 concerns the transformation of industrial processes through the integration of modern technologies such as sensors, communication, and computational processing. Technologies such as Cyber Physical Systems (CPS), Internet of Things (IoT), Cloud Computing, Machine Learning, and Data Analytics are considered to be the different drivers necessary for the transformation. Industrial Internet of Things (IIoT) is an application of IoT in industries to modify the various existing industrial systems. IIoT links the automation system with enterprise, planning and product lifecycle.This course has been organized into the following modules:"
152,noc24-cs35,Computer Science and Engineering,Introduction To Internet Of Things,Prof. Sudip Misra,IITKGP,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 21, 2024",https://onlinecourses.nptel.ac.in/noc22_cs96/preview,Prerequisites or Industry Support section not found.,"ABOUT THE COURSE : Internet of Things (IoT) is presently a hot technology worldwide. Government, academia, and industry are involved in different aspects of research, implementation, and business with IoT. IoT cuts across different application domain verticals ranging from civilian to defence sectors. These domains include agriculture, space, healthcare, manufacturing, construction, water, and mining, which are presently transitioning their legacy infrastructure to support IoT. Today it is possible to envision pervasive connectivity, storage, and computation, which, in turn, gives rise to building different IoT solutions. IoT-based applications such as innovative shopping system, infrastructure management in both urban and rural areas, remote health monitoring and emergency notification systems, and transportation systems, are gradually relying on IoT based systems. Therefore, it is very important to learn the fundamentals of this emerging technology."
153,noc24-cs36,Computer Science and Engineering,Introduction to Machine Learning (Tamil),Prof. Arun Rajkumar,IITM,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 24, 2024",https://onlinecourses.nptel.ac.in/noc22_cs58/preview,Prerequisites or Industry Support section not found.,A short course introducing the main ideas and algorithms of Machine Learning. The goal of the course is to cover the topics at a high level so that it would act as a first course for a full fledged Machine Learning course. The course will be delivered in spoken Tamil while the technical terms discussed/exams/assignments will be in English.
154,noc24-cs37,Computer Science and Engineering,Introduction To Soft Computing,Prof. Debasis Samanta,IITKGP,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 23, 2024",https://onlinecourses.nptel.ac.in/noc22_cs54/preview,NIL,"ABOUT THE COURSE : Soft computing is an emerging approach to computing which parallel the remarkable ability of the human mind to reason and learn in an environment of uncertainty and imprecision. Soft computing is based on some biological inspired methodologies such as genetics, evolution, ant’s behaviors, particles swarming, human nervous systems, etc. Now, soft computing is the only solution when we don’t have any mathematical modeling of problem solving (i.e., algorithm), need a solution to a complex problem in real time, easy to adapt with changed scenario and can be implemented with parallel computing. It has enormous applications in many application areas such as medical diagnosis, computer vision, hand written character recondition, pattern recognition, machine intelligence, weather forecasting, network optimization, VLSI design, etc."
