S.No,Course ID,Discipline,Course Name,SME Name,Institute,Duration,Start date,End date,Exam date,Course URL,Substring 1,Substring 2
408,noc24-ma16,Mathematics,Dynamical System and Control,"Prof. N. Sukavanam, Prof. D. N Pandey",IITR,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 27, 2024",https://onlinecourses.nptel.ac.in/noc24_ma16/preview,"About the course: This course ‘Dynamical systems and control’ is a basic course offered to PG students and final year UG students of Engineering/Science background. The objective of this course is to enhance the understanding of the theory, properties and applications of various dynamical and control systems. After completing the course one may be able to understand some of the important aspects of dynamical systems such as mathematical modeling, well posedness (existence, uniqueness and stability) of the considered problem. The participants will also be conversant with the controllability, stabilizability and optimal control aspects of a dynamical system. Most Dynamical systems-physical, social, biological, engineering are often conveniently expressed (modeled) in the form of differential equations with or without control. Such mathematical models can provide an insight into the behavior of real life system if appropriate mathematical theory and techniques are applied. In this context this course has tremendous applications in diverse fields of engineering and technology.","About the course: This course ‘Dynamical systems and control’ is a basic course offered to PG students and final year UG students of Engineering/Science background. The objective of this course is to enhance the understanding of the theory, properties and applications of various dynamical and control systems. After completing the course one may be able to understand some of the important aspects of dynamical systems such as mathematical modeling, well posedness (existence, uniqueness and stability) of the considered problem. The participants will also be conversant with the controllability, stabilizability and optimal control aspects of a dynamical system. Most Dynamical systems-physical, social, biological, engineering are often conveniently expressed (modeled) in the form of differential equations with or without control. Such mathematical models can provide an insight into the behavior of real life system if appropriate mathematical theory and techniques are applied. In this context this course has tremendous applications in diverse fields of engineering and technology."
409,noc24-ma18,Mathematics,Essentials Of Data Science With R Software - 1: Probability And Statistical Inference,Prof. Shalabh,IITK,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 28, 2024",https://onlinecourses.nptel.ac.in/noc24_ma18/preview,"About the course: Any data analysis is incomplete without statistics. After getting the data, the statistical tools aims to extract the information hidden inside the data. The main objective of statistics is to work on a small sample of data but provide conclusions for the whole population. Such results cannot be obtained without learning the concepts and tools of theory of probability  and statistical inference. With the advent of  data science, it has become important to learn those tools from computational and data based aspects. Without learning the basic fundamentals of  probability  theory  and statistical inference, it is difficult to implement them correctly on the data and draw correct statistical conclusions.  Such fundamental topics have enormous applicability in data science and are to be learnt from data based computational perspectives through software.  How to use them  with the popular and freely available R statistical software and how to understand the correct statistical inferences is the objective of the course to be taught.",: “Introduction to R Course” is preferred. Mathematics background up to class 12 is needed.  Some minor statistics background is desirable. INDUSTRIES  SUPPORT : All industries having R & D set up will use this course.
410,noc24-ma19,Mathematics,Essentials Of Data Science With R Software - 2: Sampling Theory And Linear Regression Analysis,Prof. Shalabh,IITK,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 28, 2024",https://onlinecourses.nptel.ac.in/noc24_ma19/preview,"About the course: Any data analysis is incomplete without statistics. After getting the data, the statistical tools aims to extract the information hidden inside the data. Sampling theory and regression analysis are two important tools among others which play a fundamental role in extracting such information. The role of such classical topics of statistics are to be understood in the context of data science. Such topics have fundamental applicability in data science and are to be understood from computational aspects through software.  The introductory  tools of sampling theory and regression analysis are detailed in this course. How to use them  with the popular free R statistical software R and what are the interpretations of the outcome  is the objective of the course to be taught.",: “Introduction to R Course” and “Essentials of Data Science With R Software – 1 - Probability and Statistical Inference” are preferred. Mathematics background up to class 12 is needed.  Some minor statistics background is desirable. INDUSTRIES  SUPPORT : All industries having R & D set up will use this course.
411,noc24-ma20,Mathematics,First Course on Partial Differential Equations - I,Prof. A. K. Nandakumaran Prof. P. S. Datti,IISc,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 24, 2024",https://onlinecourses.nptel.ac.in/noc21_ma18/preview,"This is intended to be a first course on the subject Partial Differential Equations, which generally requires 40 lecture hours (One semester course). So, we plan to make this course in two parts – 20 hours each. We plan to offer the first part starting in January 2021 and second part may be in July 2021 or latest by 2022.",": Multi variable Calculus, Linear Algebra, ordinary Differential Equations INDUSTRIES  SUPPORT     : None"
412,noc24-ma21,Mathematics,Fourier Analysis and its applications,Prof. G. K Srinivasan,IITB,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 28, 2024",https://onlinecourses.nptel.ac.in/noc24_ma21/preview," Fourier analysis is a fundamental component in the tool-kit of every pure and applied mathematician with numerous applications to signal processing, image processing, tomography and several other areas of engineering. In this course we shall look at the most basic theoretical foundations of this subject with several applications. Along the way we shall have to recapitulate some of the requisite results from functional analysis. We offer some Selected applications such as Hurwitz’s proof of the isoperimetric theorem and Weyl’s theorem on equidistribution modulo one. Some applications to differential equations will be indicated.", Basic real analysis. A basic knowledge of functional analysis would help
413,noc24-ma22,Mathematics,Functional Analysis,Prof. Kesavan,IMSc,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 28, 2024",https://onlinecourses.nptel.ac.in/noc24_ma22/preview," Functional Analysis is a core course in any mathematics curriculum at the masters level. It has wide ranging applications in several areas of mathematics, especially in the modern approach to the study of partial differential equations. The proposed course will cover all the material usually dealt with in any basic course of Functional Analysis. Starting from normed linear spaces, we will study all the important theorems, with applications, in the theory of Banach and Hilbert spaces. One important feature of the proposed course is the detailed treatment of weak topologies.","Prerequisites are familiarity with real analysis, topology and linear algebra. Knowledge of measure theory is desirable ."
414,noc24-ma23,Mathematics,Graph Theory,Prof. Soumen Maity,IISER PUNE,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 24, 2024",https://onlinecourses.nptel.ac.in/noc24_ma23/preview," Graph theory began in 1736 when the Swiss mathematician Euler solved Konigsberg seven-bridge problem. It has been two hundred and eighty years till now. Graph theory is the core content of Discrete Mathematics, and Discrete Mathematics is the theoretical basis of computer science and network information science. This course introduces in an elementary way some basic knowledge and the primary methods in Graph Theory.",NILL
415,noc24-ma24,Mathematics,Introduction to Algebraic Geometry and Commutative Algebra,Prof. Dilip P. Patil,IISc,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 27, 2024",https://onlinecourses.nptel.ac.in/noc24_ma24/preview,"Algebraic geometry played a central role in 19th century math. The deepest results of Abel, Riemann, Weierstrass, and the most important works of Klein and Poincar/’e were part of this subject. In the middle of the 20th century algebraic geometry had been through a large reconstruction. The domain of application of its ideas had grown tremendously, in the direction of algebraic varieties over arbitrary fields and more general complex manifolds. Many of the best achievements of algebraic geometry could be cleared of the accusation of incomprehensibility or lack of rigour. The foundation for this reconstruction was (commutative) algebra. In the 1950s and 60s have brought substantial simplifications to the foundation of algebraic geometry, which significantly came closer to the ideal combination of logical transparency and geometric intuition. Commutative algebra is essentially the study of the rings occurring in algebraic number theory and algebraic geometry. In algebraic number theory, the rings of algebraic integers in number fields constitute an important class of commutative rings — the Dedekind domains. This has led to the notions of integral extensions and integrally closed domains. The notion of localization of a ring (in particular the localization with respect to a prime ideal leads to an important class of commutative rings — the local rings. The set of the prime ideals of a commutative ring is naturally equipped with a topology — the Zariski topology. All these notions are","Algebraic geometry played a central role in 19th century math. The deepest results of Abel, Riemann, Weierstrass, and the most important works of Klein and Poincar/’e were part of this subject. In the middle of the 20th century algebraic geometry had been through a large reconstruction. The domain of application of its ideas had grown tremendously, in the direction of algebraic varieties over arbitrary fields and more general complex manifolds. Many of the best achievements of algebraic geometry could be cleared of the accusation of incomprehensibility or lack of rigour. The foundation for this reconstruction was (commutative) algebra. In the 1950s and 60s have brought substantial simplifications to the foundation of algebraic geometry, which significantly came closer to the ideal combination of logical transparency and geometric intuition. Commutative algebra is essentially the study of the rings occurring in algebraic number theory and algebraic geometry. In algebraic number theory, the rings of algebraic integers in number fields constitute an important class of commutative rings — the Dedekind domains. This has led to the notions of integral extensions and integrally closed domains. The notion of localization of a ring (in particular the localization with respect to a prime ideal leads to an important class of commutative rings — the local rings. The set of the prime ideals of a commutative ring is naturally equipped with a topology — the Zariski topology. All these notions are"
416,noc24-ma25,Mathematics,Introduction to Galois Theory,Prof. Krishna Hanumanthu,CMI,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 24, 2024",https://onlinecourses.nptel.ac.in/noc24_ma25/preview,"About the course: In this introductory course on Galois theory, we will first review basic concepts from rings and fields, such as polynomial rings, field extensions and splitting fields. We will then learn about normal and separable extensions before defining Galois extensions. We will see a lot of examples and constructions of Galois groups and Galois extensions. We will then prove the fundamental theorem of Galois theory which gives a correspondence between subgroups of the Galois group and intermediate fields of a Galois extension. We will then cover some important applications of Galois theory, such as insolvability of quintics, Kummer extensions, cyclotomic extensions. This course will focus a lot on solving exercises and giving plenty of examples. We will give several exercises to be done by students and will have weekly problem solving sessions where we will solve problems in detail.",": Courses in linear algebra, group theory, rings and fields are prerequisites."
417,noc24-ma27,Mathematics,Introduction to Lie algebras,Prof. R. Venkatesh,IISc,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 28, 2024",https://onlinecourses.nptel.ac.in/noc24_ma27/preview,"The Lie algebras are central to Lie theory. They are highly non-commutative and non-associative algebras. They were first introduced in 1870s by a Norwegian mathematician Marius Sophus Lie to study the concept of infinitesimal transformations. Their representations play an important role in theoretical Physics.The course will introduce finite dimensional Lie algebras. We will begin with the basic definitions and properties of finite dimensional Lie algebras and prove some fundamental results about nilpotent and solvable Lie algebras. Then we will prove the Cartan’s criteria for solvability and semi simplicity. Finally, we will move on to the structure theory of semi-simple Lie algebras and prove their root space decomposition."," First course in Linear algebra"
418,noc24-ma28,Mathematics,Introduction To Queueing Theory,Prof. N. Selvaraju,IITG,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 27, 2024",https://onlinecourses.nptel.ac.in/noc23_ma38/preview,"This course gives a detailed introduction into queueing theory along with the stochastic processes techniques useful for modelling queueing systems. A queue is a waiting line, and a queueing system is a system which provides service to some jobs (customers, clients) that arrive with time and wait to get served (Examples: - a telecommunication system that processes requests for communication; - a hospital facing randomly occurring demand for hospital beds; - central processing unit that handles arriving jobs). Queueing theory is a branch of applied probability theory dealing with abstract representation and analysis of such systems. Its study helps us to obtain useful and unobvious answers to certain questions concerning the performance of systems which in turn would help to design better systems.", Calculus-based Probability Theory
419,noc24-ma29,Mathematics,Introduction To Rings And Fields,Prof. Krishna Hanumanthu,CMI,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 24, 2024",https://onlinecourses.nptel.ac.in/noc24_ma29/preview,"This course will cover basics of abstract rings and fields, which are an important part of any abstract algebra course sequence. We will spend roughly the 4-5 weeks on rings. We will begin with definitions and important examples. We will focus cover prime, maximal ideals and important classes of rings like integral domains, UFDs and PIDs. We will also prove the Hilbert basis theorem about noetherian rings. The last 3-4 weeks will be devoted to field theory. We will give definitions, basic examples. Then we discuss extension of fields, adjoining roots, and prove the primitive element theorem. Finally we will classify finite fields.",: A little bit of abstract group theory and a little bit of linear algebra.
420,noc24-ma30,Mathematics,Introduction to Statistics,Prof. Sameen Naqvi,IIT Hyderabad,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 28, 2024",,,
421,noc24-ma32,Mathematics,Mathematical Modelling: Analysis and Applications,Prof. Ameeya Kumar Nayak,IITR,4 Weeks,"Jan 22, 2024","Feb 16, 2024","Mar 24, 2024",https://onlinecourses.nptel.ac.in/noc24_ma32/preview,This course provides introduction of mathematical modeling and analysis in biological sciences. It is designed for students in both applied mathematics and bio-medical / biological sciences. The major content of this course is chosen from population dynamics. This course covers the fundamentals of deterministic models in both discrete and continuous time domain. This course includes both linear and non-linear models with sufficient amount of theoretical background. The relevant concepts and solution methods of various difference and differential equations are provided. We have also focused on graphical solution for clear analysis of nature of models.,UG/PG students of technical universities/colleges
422,noc24-ma34,Mathematics,Numerical Analysis,Prof. S. Baskar,IITB,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 21, 2024",https://onlinecourses.nptel.ac.in/noc24_ma34/preview,"Numerical analysis is a branch of mathematics that deals with the construction and analysis of numerical methods to various mathematical problems.  For a given suitable mathematical problem, the aim is • to develop numerical methods; and • to develop mathematical tools to study the error involved in the numerical solution when compared to the exact solution of the mathematical problem. In this course, we learn to meet the above two goals through some simple and familiar mathematical problems.   We will also learn to implement some simple numerical methods as computer code","Calculus, Linear Algebra at UG level. Some experience in programming in any language may be desirable."
423,noc24-ma35,Mathematics,Numerical Linear Algebra,"Prof. P.N. Agrawal, Prof. D. N Pandey",IITR,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 28, 2024",https://onlinecourses.nptel.ac.in/noc24_ma35/preview,"This course is a basic course offered to UG/PG students of Engineering/Science background. It contains basics of matrix algebra, computer arithmetic, conditioning and condition number, stability of numerical algorithms, vector and matrix norms, convergent matrices, stability of non-linear systems, sensitivity analysis, singular value decomposition (SVD), algebraic and geometric properties of SVD, least square solutions, Householder matrices and applications, QR method, Power method and applications, Jacobi method for finding the eigenvalues of a given matrix. This course has tremendous applications in diverse fields of Engineering and Sciences such as control theory, image processing, numerical analysis and dynamical systems etc.",NILL
424,noc24-ma36,Mathematics,Numerical Methods: Finite difference approach,Prof. Ameeya Kumar Nayak,IITR,4 Weeks,"Jan 22, 2024","Feb 16, 2024","Mar 24, 2024",https://onlinecourses.nptel.ac.in/noc20_ma10/preview,"This course is an advanced course offered to UG/PG student of Engineering/Science background. It contains solution methods for different class of partial differential equations. The convergence and stability analysis of the solution methods is also included . It plays an important role for solving various engineering and sciences problems. Therefore, it has tremendous applications in diverse fields in engineering sciences.",Numerical Methods Basic Knowledge
425,noc24-ma38,Mathematics,Probabilistic Methods in PDE,Prof. Anindya Goswami,IISER Pune,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 27, 2024",https://onlinecourses.nptel.ac.in/noc24_ma38/preview,"Probabilistic method in PDE is equally used in Pure and Applied Mathematics research. This is regarded as a very powerful tool by the researchers working on the theory of differential equations. However, as the topic demands expertise on both PDE and probability theory, an initiative to teach the topic as a structured course is vastly absent globally, including in India. There is hardly any lecture note or a course accessible for the mathematics students. There is no book for mathematics students which focuses on this topic and assembles all important aspects suitable for an introduction to this topic. Young researchers like PhD students or junior postdoctoral fellows, who aspire to learn the topic, resorts on several different books and study by themselves, which often consumes considerable amount of their productive time.To change the present discouraging scenario and to boost up research on this very powerful and vibrant topic, I have designed this introductory course. I have offered this once informally at IISER Pune and then officially at Justus-Liebig University, Giessen, Germany for research students. This course, although an advanced one, attracts students with a background of PDE, Probability Theory, Mathematical Finance, or Mathematical Physics. This course allows a researcher to confidently take up an original research problem in the related field.This course content is mainly based on two different books, one on stochastic calculus and another on semigroup theory. Many theorems would be proved in the lectures with greater details than the reference books. "," Appropriate for students with MSc in Pure Mathematics with specialization in Analysis and/or Probability Theory. Prerequisite courses: Measure Theory, Functional Analysis, Probability Theory, Stochastic Processes, "
426,noc24-ma39,Mathematics,Probability And Statistics,Prof. Somesh Kumar,IITKGP,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 28, 2024",https://onlinecourses.nptel.ac.in/noc24_ma39/preview,"The use of statistical reasoning and methodology is indispensable in modern world. It is applicable to every discipline, be it physical sciences, engineering and technology, economics or social sciences. Much of the advanced research in electronics, electrical, computer science, industrial engineering, biology, genetics, and information science relies increasingly on use of statistical tools. It is essential for the students to get acquainted with the subject of probability and statistics at an early stage. The present course has been designed to introduce the subject to undergraduate/postgraduate students in science and engineering. The course contains a good introduction to each topic and an advance treatment of theory at a fairly understandable level to the students at this stage. Each concept has been explained through examples and application oriented problems.","Must have good knowledge of Differential and Integral Calculus, sequences and series, Basic Linear/Matrix Algebra (usually students who have completed Mathematics-I and II at first year undergraduate"
427,noc24-ma40,Mathematics,Probability –I with Examples Using R,Prof. Siva Athreya,ISI Bangalore,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 21, 2024",https://onlinecourses.nptel.ac.in/noc24_ma40/preview,"ABOUT THE COURSE : The course will cover basic concepts in Probability. It  will begin with fundamental notions of Sample Space, Events, Probability, conditional probabilities And independence. We shall formalise notation in terms of Random Variables and discuss standard distributions such as (discrete) Uniform, Binomial, Poisson, Geometric, Hypergeometric, Negative Binomial   and (continuous) Normal, Exponential, Gamma, Beta, Chi-square, and  Cauchy. We will conclude with the law of large numbers and central limit theorem. A unique feature of this course will be that we will use the package R to illustrate examples.",: Basic Calculus
428,noc24-ma41,Mathematics,Scientific Computing using Matlab,Prof. Mani Mehra Prof. Vivek K. Aggarwal,IITD,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 28, 2024",https://onlinecourses.nptel.ac.in/noc24_ma41/preview,"About the course: In the first week of this course, an introduction to Matlab is introduced with hands on Matlab software. In the subsequent weeks, topics will be introduced followed by hands on to write the Matlab code of the same topics. This course is very useful for the students who wants to do research projects using numerical techniques to handle data or to solve differential equations.",: Some knowledge of any programming language INDUSTRIES  SUPPORT : Not Applicable
429,noc24-ma43,Mathematics,Statistical Inference,Prof. Niladri Chatterjee,IITD,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 24, 2024",https://onlinecourses.nptel.ac.in/noc24_ma43/preview,"This course aims at giving the foundation knowledge of Probability and Statistical Inference. In particular, it gives details of theory of Estimation and testing of hypothesis. Both theoretical aspect will be discussed and practical problems will be dealt with in great detail. This course will help students and practitioners of statistics at both UG and PG level. This course will also serve as a foundation course for students workingon Machine Learning. "," Background of Probability, Basic Knowledge of Data its collection and descriptive statistics "
430,noc24-ma44,Mathematics,Numerical Linear Algebra and Application,Prof. Srinivasa Rao Pentyala,IIT-ISM Dhanbad,12 weeks,"Jan 22, 2024","Apr 12, 2024","Apr 21, 2024",https://onlinecourses.nptel.ac.in/noc24_ma44/preview,"Numerical solutions of linear systems including a detailed perturbation analysis; Lu factorization with partial and complete pivoting, condition number estimation, iterative methods; least square solutions and a review of computational methods for over determined systems and under determined systems and iterative refinement with applications in optimization, domain decomposition of irregular natural spontaneous systems and so on.",Not very specific. Know ledge of basic numerical analysis and linear algebra is desirable but not mandatory.
431,noc24-me04,Mechanical Engineering,Experimental Stress Analysis,Prof. K. Ramesh,IITM,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 28, 2024",,,
432,noc24-me05,Mechanical Engineering,Acoustic Materials And Metamaterials,Prof. Sneha Singh,IITR,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 24, 2024",https://onlinecourses.nptel.ac.in/noc24_me05/preview,"The study of electromagnetic and acoustic waves is an endeavor that dates back centuries. An important sub-domain of this field that effects our daily life is the use of acoustic principles to control environmental noise. In this regard, acoustic materials, which are materials designed to manipulate sound wave propagation, are of prime importance. Within this field, about three decades ago, the concept of metamaterials was proposed that has created a revolution. Theoretical formulation and experiments have shown the feasibility of realizing man-made acoustic metamaterials that can manipulate waves beyond the defined limits of those found in nature. Therefore, within a time span of 15 years, acoustic materials have emerged as an active field driven by scientific discoveries and diverse application potentials in machinery noise control, frequency filtering, speech transmission technology, acoustic imaging, and cloaking. This is the first-ever organized coursework on acoustic materials with a special focus on acoustic metamaterials. This course will cover the following topics:
Acoustic fundamentals
Theory and design principles of acoustic barrier materials
Theory and design principles of sound absorbing materials
Limitations of conventional materials
Principles of acoustic metamaterials
Theory and design principles of membrane type metamaterials
Theory and design principles of sonic crystals
Guidelines for selecting acoustic materials","Mathematics (up to Class 12th), Physics (up to Class 12th)"
433,noc24-me06,Mechanical Engineering,Automatic Control,Prof. Anil Kumar,IITR,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 24, 2024",https://onlinecourses.nptel.ac.in/noc24_me06/preview," Automatic Control is the theory used in various applications, for example, manufacturing of a product, refrigeration and air conditioners, aircraft, missile, satellite launching, etc. The study of a dedicated course is required to understand the fundamental and advance concepts of automatic controls for engineers and designers. This course is of basic level. It introduces design and modelling of a control system, theory of transfer functions, poles, zeros, block diagram algebra, transient response analysis of first and second order systems, stability and Routh’s criteria, error analysis, PID control, root locus techniques, compensation techniques, introduction to the state space method and application of MATLAB in automatic control"," Automatic Control is the theory used in various applications, for example, manufacturing of a product, refrigeration and air conditioners, aircraft, missile, satellite launching, etc. The study of a dedicated course is required to understand the fundamental and advance concepts of automatic controls for engineers and designers. This course is of basic level. It introduces design and modelling of a control system, theory of transfer functions, poles, zeros, block diagram algebra, transient response analysis of first and second order systems, stability and Routh’s criteria, error analysis, PID control, root locus techniques, compensation techniques, introduction to the state space method and application of MATLAB in automatic control"
